topic,week,avg_sentiment,volume
Company News,2007-11-26/2007-12-02,0.4504,2
Company News,2008-04-21/2008-04-27,-0.9818,1
Company News,2008-09-22/2008-09-28,-0.8738,1
Company News,2008-09-29/2008-10-05,-0.8271,1
Company News,2008-11-03/2008-11-09,0.9001,1
Company News,2009-08-31/2009-09-06,-0.9879,1
Company News,2009-10-05/2009-10-11,0.2168,1
Company News,2009-10-12/2009-10-18,0.9949,1
Company News,2010-01-25/2010-01-31,0.9983,1
Company News,2010-04-19/2010-04-25,0.9132,1
Company News,2010-06-14/2010-06-20,0.0746,2
Company News,2010-08-09/2010-08-15,0.87015,2
Company News,2010-09-27/2010-10-03,0.995,1
Company News,2010-10-18/2010-10-24,0.9987,1
Company News,2010-11-08/2010-11-14,0.9886,1
Company News,2011-03-07/2011-03-13,0.9949,1
Company News,2011-05-02/2011-05-08,-0.8975,1
Company News,2011-12-05/2011-12-11,-0.8803,1
Company News,2012-02-06/2012-02-12,0.9988,1
Company News,2012-04-09/2012-04-15,0.9918,1
Company News,2012-04-23/2012-04-29,0.7166,1
Company News,2012-06-04/2012-06-10,0.533,1
Company News,2012-06-25/2012-07-01,0.9507,1
Company News,2012-07-23/2012-07-29,0.9972,1
Company News,2012-08-20/2012-08-26,0.9976,1
Company News,2012-10-01/2012-10-07,0.48506249999999995,8
Company News,2012-10-08/2012-10-14,0.9757625,8
Company News,2012-10-22/2012-10-28,0.99,1
Company News,2012-10-29/2012-11-04,-0.9961,1
Company News,2012-11-19/2012-11-25,0.9836,1
Company News,2013-02-04/2013-02-10,0.9883,1
Company News,2013-04-22/2013-04-28,0.976,1
Company News,2013-07-15/2013-07-21,-0.76285,2
Company News,2014-04-28/2014-05-04,0.9895,1
Company News,2014-05-12/2014-05-18,0.00545000000000001,2
Company News,2014-10-20/2014-10-26,0.5574,1
Company News,2014-12-08/2014-12-14,-0.9456,1
Company News,2014-12-22/2014-12-28,0.8653,1
Company News,2015-01-05/2015-01-11,0.9592,1
Company News,2015-02-23/2015-03-01,-0.9447,1
Company News,2015-03-09/2015-03-15,0.9908,1
Company News,2015-03-16/2015-03-22,-0.9976,1
Company News,2015-08-03/2015-08-09,0.951,1
Company News,2015-08-10/2015-08-16,-0.9641,1
Company News,2015-09-07/2015-09-13,-0.4203,1
Company News,2015-10-05/2015-10-11,-0.9835,1
Company News,2016-01-18/2016-01-24,-0.981,1
Company News,2016-04-04/2016-04-10,0.9986,1
Company News,2016-04-18/2016-04-24,0.4645,1
Company News,2016-05-16/2016-05-22,-0.9948,1
Company News,2016-06-06/2016-06-12,-0.9848,1
